Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
47,44.0,2018-01-26,31-307,Home,UTA,L (-4),1,0.0,6.0,0.0,2.0,Kyle Lowry
48,45.0,2018-01-28,31-309,Home,LAL,W (+12),1,1.0,4.0,0.25,2.0,Kyle Lowry
49,46.0,2018-01-30,31-311,Home,MIN,W (+5),1,2.0,6.0,0.33299999999999996,2.0,Kyle Lowry
50,47.0,2018-02-01,31-313,Away,WAS,L (-3),1,4.0,11.0,0.364,2.0,Kyle Lowry
51,48.0,2018-02-02,31-314,Home,POR,W (+25),1,2.0,6.0,0.33299999999999996,1.0,Kyle Lowry
52,49.0,2018-02-04,31-316,Home,MEM,W (+15),1,1.0,6.0,0.16699999999999998,2.0,Kyle Lowry
53,50.0,2018-02-06,31-318,Home,BOS,W (+20),1,6.0,11.0,0.545,2.0,Kyle Lowry
54,51.0,2018-02-08,31-320,Home,NYK,W (+25),1,2.0,8.0,0.25,2.0,Kyle Lowry
55,52.0,2018-02-11,31-323,Away,CHO,W (+20),1,4.0,9.0,0.444,3.0,Kyle Lowry
56,53.0,2018-02-13,31-325,Home,MIA,W (+3),1,4.0,8.0,0.5,2.0,Kyle Lowry
57,54.0,2018-02-14,31-326,Away,CHI,W (+24),1,4.0,7.0,0.5710000000000001,1.0,Kyle Lowry
58,55.0,2018-02-23,31-335,Home,MIL,L (-3),1,3.0,10.0,0.3,9.0,Kyle Lowry
59,56.0,2018-02-26,31-338,Home,DET,W (+29),1,6.0,8.0,0.75,3.0,Kyle Lowry
60,57.0,2018-02-28,31-340,Away,ORL,W (+13),1,4.0,8.0,0.5,2.0,Kyle Lowry
61,58.0,2018-03-02,31-342,Away,WAS,W (+7),1,1.0,5.0,0.2,2.0,Kyle Lowry
62,59.0,2018-03-04,31-344,Home,CHO,W (+5),1,2.0,8.0,0.25,2.0,Kyle Lowry
63,60.0,2018-03-06,31-346,Home,ATL,W (+16),1,0.0,4.0,0.0,2.0,Kyle Lowry
64,61.0,2018-03-07,31-347,Away,DET,W (+2),1,3.0,7.0,0.429,1.0,Kyle Lowry
65,62.0,2018-03-09,31-349,Home,HOU,W (+3),1,7.0,9.0,0.778,2.0,Kyle Lowry
66,63.0,2018-03-11,31-351,Away,NYK,W (+26),1,2.0,7.0,0.28600000000000003,2.0,Kyle Lowry
67,64.0,2018-03-13,31-353,Away,BRK,W (+14),1,1.0,8.0,0.125,2.0,Kyle Lowry
68,65.0,2018-03-15,31-355,Away,IND,W (+7),1,3.0,7.0,0.429,2.0,Kyle Lowry
69,,2018-03-16,31-356,Home,DAL,W (+7),Inactive,,,,1.0,Kyle Lowry
70,66.0,2018-03-18,31-358,Home,OKC,L (-7),1,5.0,7.0,0.7140000000000001,2.0,Kyle Lowry
71,67.0,2018-03-20,31-360,Away,ORL,W (+7),1,7.0,13.0,0.5379999999999999,2.0,Kyle Lowry
72,68.0,2018-03-21,31-361,Away,CLE,L (-3),1,6.0,9.0,0.667,1.0,Kyle Lowry
73,69.0,2018-03-23,31-363,Home,BRK,W (+4),1,5.0,6.0,0.833,2.0,Kyle Lowry
74,70.0,2018-03-25,32-000,Home,LAC,L (-11),1,3.0,7.0,0.429,2.0,Kyle Lowry
75,71.0,2018-03-27,32-002,Home,DEN,W (+4),1,3.0,6.0,0.5,2.0,Kyle Lowry
76,72.0,2018-03-31,32-006,Away,BOS,L (-11),1,2.0,10.0,0.2,4.0,Kyle Lowry
77,73.0,2018-04-03,32-009,Away,CLE,L (-6),1,1.0,7.0,0.14300000000000002,3.0,Kyle Lowry
78,74.0,2018-04-04,32-010,Home,BOS,W (+18),1,2.0,7.0,0.28600000000000003,1.0,Kyle Lowry
79,75.0,2018-04-06,32-012,Home,IND,W (+19),1,3.0,8.0,0.375,2.0,Kyle Lowry
80,76.0,2018-04-08,32-014,Home,ORL,W (+11),1,1.0,7.0,0.14300000000000002,2.0,Kyle Lowry
81,77.0,2018-04-09,32-015,Away,DET,W (+10),1,3.0,7.0,0.429,1.0,Kyle Lowry
82,78.0,2018-04-11,32-017,Away,MIA,L (-7),1,5.0,10.0,0.5,2.0,Kyle Lowry
1,1.0,2018-04-14,32-020,Home,WAS,W (+8),1,1.0,4.0,0.25,3.0,Kyle Lowry
